reason,bot_version,ai_threshold,decision,features_ema9,edge_trigger_reason,exchange,features_delta,data_symbol,ts,effective_threshold,early_fail_enabled,features_price,skip_stage,edge_threshold,trade_id,ai_error,fee_profile,research_model,ai_decision_text,research_lane,ai_win_prob,experiment_tag,analyzer_sync_id,controls_edge,ai_source,ai_error_detail,edge_score,final_direction,invert_signal
APPROVE,v10.6-melbourne-unified-2026-06-24,44.0,AI,62751.163142,,bitfinex,1.19041,tBTCF0:USTF0,2026-06-24T12:30:26.690459+00:00,3.0,True,62880.0,AI,3.0,cont-6a5fc8176223,False,BITFINEX_ZERO,Continuous AI Research,APPROVE,CONTINUOUS,62,INV_False_EF_True,v10.6-melbourne-unified-2026-06-24,3.0,,,1.1,,False
BELOW_THRESHOLD,v10.6-melbourne-unified-2026-06-24,44.0,BLOCKED,62751.163142,,bitfinex,1.19041,tBTCF0:USTF0,2026-06-24T12:30:28.390264+00:00,3.0,True,62880.0,POST_AI,3.0,cont-6a5fc8176223,False,BITFINEX_ZERO,Continuous AI Research,APPROVE,CONTINUOUS,62,INV_False_EF_True,v10.6-melbourne-unified-2026-06-24,3.0,,,1.1,SHORT,False
COMPLETE,v10.6-melbourne-unified-2026-06-24,44.0,COMPLETE,62751.163142,,bitfinex,1.19041,tBTCF0:USTF0,2026-06-24T12:30:29.564662+00:00,3.0,True,62880.0,COMPLETE,3.0,cont-6a5fc8176223,False,BITFINEX_ZERO,Continuous AI Research,APPROVE,CONTINUOUS,62,INV_False_EF_True,v10.6-melbourne-unified-2026-06-24,3.0,SPAWN,,1.1,SHORT,False
APPROVE,v10.6-melbourne-unified-2026-06-24,44.0,AI,,,bitfinex,1.184917,tBTCF0:USTF0,2026-06-24T12:30:30.495055+00:00,3.0,True,,AI,3.0,scan-45c386c97f45,False,BITFINEX_ZERO,AI Scan (no orders),APPROVE,AI_SCAN,62,INV_False_EF_True,v10.6-melbourne-unified-2026-06-24,3.0,,,1.1,,False
APPROVE,v10.6-melbourne-unified-2026-06-24,44.0,AI,62751.163142,,bitfinex,1.187995,tBTCF0:USTF0,2026-06-24T12:30:33.104224+00:00,3.0,True,62885.0,AI,3.0,c604c-2895c4be0a6a,False,BITFINEX_ZERO,AI60-65 · Spread4 · Chase 3+,APPROVE,COMBO_604_SP4_CHASE_3PLUS,62,INV_False_EF_True,v10.6-melbourne-unified-2026-06-24,3.0,,,1.1,,False
BELOW_THRESHOLD,v10.6-melbourne-unified-2026-06-24,44.0,BLOCKED,62751.163142,,bitfinex,1.187995,tBTCF0:USTF0,2026-06-24T12:30:33.684685+00:00,3.0,True,62885.0,POST_AI,3.0,c604c-2895c4be0a6a,False,BITFINEX_ZERO,AI60-65 · Spread4 · Chase 3+,APPROVE,COMBO_604_SP4_CHASE_3PLUS,62,INV_False_EF_True,v10.6-melbourne-unified-2026-06-24,3.0,,,1.1,SHORT,False
COMPLETE,v10.6-melbourne-unified-2026-06-24,44.0,COMPLETE,62751.163142,,bitfinex,1.187995,tBTCF0:USTF0,2026-06-24T12:30:34.212728+00:00,3.0,True,62885.0,COMPLETE,3.0,c604c-2895c4be0a6a,False,BITFINEX_ZERO,AI60-65 · Spread4 · Chase 3+,APPROVE,COMBO_604_SP4_CHASE_3PLUS,62,INV_False_EF_True,v10.6-melbourne-unified-2026-06-24,3.0,SPAWN,,1.1,SHORT,False
AI_COOLDOWN_159s,v10.6-melbourne-unified-2026-06-24,44.0,NO_SIGNAL,,,bitfinex,,tBTCF0:USTF0,2026-06-24T12:30:35.147954+00:00,3.0,True,,PRE_PIPELINE,3.0,e2884a7d-222a-47a4-b113-9aeb5bd24417,False,BITFINEX_ZERO,Unknown,,,,INV_False_EF_True,v10.6-melbourne-unified-2026-06-24,,,,1.1,,False
APPROVE,v10.6-melbourne-unified-2026-06-24,44.0,AI,62766.810514,PERIODIC_RESEARCH_AI,bitfinex,1.163332,tBTCF0:USTF0,2026-06-24T12:33:39.325539+00:00,3.0,True,62856.0,AI,3.0,cont-0eee64932e9d,False,BITFINEX_ZERO,Continuous AI Research,APPROVE,CONTINUOUS,62,INV_False_EF_True,v10.6-melbourne-unified-2026-06-24,3.0,,,1.0,,False
BELOW_THRESHOLD,v10.6-melbourne-unified-2026-06-24,44.0,BLOCKED,62766.810514,PERIODIC_RESEARCH_AI,bitfinex,1.163332,tBTCF0:USTF0,2026-06-24T12:33:42.928257+00:00,3.0,True,62856.0,POST_AI,3.0,cont-0eee64932e9d,False,BITFINEX_ZERO,Continuous AI Research,APPROVE,CONTINUOUS,62,INV_False_EF_True,v10.6-melbourne-unified-2026-06-24,3.0,,,1.0,SHORT,False
