time,trade_id,dir,limit_price,signal_price,created_ts,expired_ts,age_min,conf,mode,reason,research_lane,research_model,closest_price,missed_by_usd,min_price_since_order,max_price_since_order,touched_limit
2026-06-24T13:03:45.263642+00:00,scan-399ceaf42ce7,SHORT,,62859.0,1782306225.263624,1782306225.263615,0,62,RESEARCH,SIGNAL_TTL_EXPIRED,AI_SCAN,AI Scan (no orders),,,,,False
2026-06-24T13:10:34.992237+00:00,scan-95cbf63fd629,SHORT,,62921.0,1782306634.992215,1782306634.992205,0,62,RESEARCH,SIGNAL_TTL_EXPIRED,AI_SCAN,AI Scan (no orders),,,,,False
2026-06-24T13:14:03.009582+00:00,scan-694022e315e6,SHORT,,62882.0,1782306843.009573,1782306843.009569,0,62,RESEARCH,SIGNAL_TTL_EXPIRED,AI_SCAN,AI Scan (no orders),,,,,False
2026-06-24T13:17:15.258751+00:00,cont-b752d30ffa85,SHORT,62895.0,62077.0,1782307035.258732,1782307035.258725,0,58,RESEARCH,SIGNAL_TTL_EXPIRED,CONTINUOUS,Continuous AI Research,,,62023.0,62823.0,False
2026-06-24T14:15:11.643712+00:00,c65c-2711278aa03d,SHORT,61325.0,61265.0,1782310511.64369,1782310511.643682,0,68,RESEARCH,STALE_NO_EXPOSURE,COMBO_65_SP5_CHASE_3PLUS,AI65+ · Spread5+ · Chase 3+,,,61147.0,61258.0,False
2026-06-24T14:24:14.606302+00:00,c65c-f67d92a39978,SHORT,61325.0,61280.0,1782311054.606287,1782311054.606281,0,72,RESEARCH,STALE_NO_EXPOSURE,COMBO_65_SP5_CHASE_3PLUS,AI65+ · Spread5+ · Chase 3+,,,60931.0,61263.0,False
2026-06-24T14:34:08.703258+00:00,cont-6d4d4540a451,SHORT,61495.0,61299.0,1782311648.703247,1782311648.703243,0,68,RESEARCH,SIGNAL_TTL_EXPIRED,CONTINUOUS,Continuous AI Research,,,60931.0,61444.0,False
2026-06-24T14:34:09.243525+00:00,c65c-c41be9376f06,SHORT,61500.0,61333.0,1782311649.243515,1782311649.243511,0,68,RESEARCH,SIGNAL_TTL_EXPIRED,COMBO_65_SP5_CHASE_3PLUS,AI65+ · Spread5+ · Chase 3+,,,60931.0,61444.0,False
2026-06-24T14:52:24.623560+00:00,cont-97cc8ef07538,SHORT,61270.0,61094.0,1782312744.623537,1782312744.623523,0,68,RESEARCH,DUPLICATE_LIMIT_PRICE,CONTINUOUS,Continuous AI Research,,,61087.0,61206.0,False
2026-06-24T14:52:24.748900+00:00,c65c-6b44835c41e8,SHORT,61275.0,61094.0,1782312744.748879,1782312744.748868,0,68,RESEARCH,DUPLICATE_LIMIT_PRICE,COMBO_65_SP5_CHASE_3PLUS,AI65+ · Spread5+ · Chase 3+,,,61087.0,61209.0,False
2026-06-24T14:55:57.355254+00:00,cont-bef0e8defdc8,SHORT,61145.0,60982.0,1782312957.355239,1782312957.355231,0,72,RESEARCH,DUPLICATE_LIMIT_PRICE,CONTINUOUS,Continuous AI Research,,,60977.0,61077.0,False
2026-06-24T14:56:06.668477+00:00,c65c-5cfc35b89a0c,SHORT,61100.0,61009.0,1782312966.668453,1782312966.668449,0,68,RESEARCH,DUPLICATE_LIMIT_PRICE,COMBO_65_SP5_CHASE_3PLUS,AI65+ · Spread5+ · Chase 3+,,,60982.0,61026.0,False
2026-06-24T14:56:14.965173+00:00,c65c-1aa564cad40c,SHORT,61150.0,61049.0,1782312974.965158,1782312974.965139,0,72,RESEARCH,DUPLICATE_LIMIT_PRICE,COMBO_65_SP5_CHASE_3PLUS,AI65+ · Spread5+ · Chase 3+,,,60977.0,61087.0,False
