pipeline_outcome,orderflow_pts,edge_trigger,reason,bot_version,mtf_1h,edge_trigger_reason,mtf_15m,exchange,outcome,price,momentum_pts,structure_bias,x_shadow,regime,ai_gate_called,data_symbol,ts,effective_threshold,stage,adx,x_effective_threshold,edge_threshold,trade_id,mtf_4h,fee_profile,x_detail,x_edge_threshold_max,analyzer_sync_id,x_lane,x_latency_ms,edge_score,x_win_prob
AI_EVALUATED,,,DEEPSEEK_RESPONSE,v10.6-melbourne-unified-2026-06-24,RANGING,,BULLISH,bitfinex,API_OK,62880.0,,BEARISH_STRUCTURE,,UNKNOWN,False,tBTCF0:USTF0,2026-06-24T12:30:23.282697+00:00,3.0,AI,19.91,,3.0,scan-45c386c97f45,BEARISH,BITFINEX_ZERO,,,v10.6-melbourne-unified-2026-06-24,,8009,1.1,
AI_EVALUATED,,,AI_SCAN_MODEL,v10.6-melbourne-unified-2026-06-24,RANGING,,BULLISH,bitfinex,APPROVE,62880.0,,BEARISH_STRUCTURE,False,UNKNOWN,True,tBTCF0:USTF0,2026-06-24T12:30:23.536167+00:00,3.0,AI,19.91,,3.0,scan-45c386c97f45,BEARISH,BITFINEX_ZERO,,,v10.6-melbourne-unified-2026-06-24,AI_SCAN,8009,1.1,62
AI_EVALUATED,,,WOULD_BLOCK_PROFIT_GATE_EDGE_LT_3.0,v10.6-melbourne-unified-2026-06-24,RANGING,,BULLISH,bitfinex,WOULD_BLOCK,62885.0,,BEARISH_STRUCTURE,,UNKNOWN,True,tBTCF0:USTF0,2026-06-24T12:30:27.944062+00:00,3.0,POST_AI,19.91,,3.0,cont-6a5fc8176223,BEARISH,BITFINEX_ZERO,,,v10.6-melbourne-unified-2026-06-24,,,1.1,
AI_EVALUATED,,,WOULD_BLOCK_PROFIT_GATE_EDGE_LT_3.0,v10.6-melbourne-unified-2026-06-24,RANGING,,BULLISH,bitfinex,WOULD_BLOCK,62885.0,,BEARISH_STRUCTURE,,UNKNOWN,True,tBTCF0:USTF0,2026-06-24T12:30:33.460520+00:00,3.0,POST_AI,19.91,,3.0,c604c-2895c4be0a6a,BEARISH,BITFINEX_ZERO,,,v10.6-melbourne-unified-2026-06-24,,,1.1,
AI_EVALUATED,,,AI_COOLDOWN_159s,v10.6-melbourne-unified-2026-06-24,RANGING,,BULLISH,bitfinex,NO_SIGNAL,62885.0,,BEARISH_STRUCTURE,,UNKNOWN,True,tBTCF0:USTF0,2026-06-24T12:30:35.261530+00:00,3.0,PIPELINE,19.91,,3.0,e2884a7d-222a-47a4-b113-9aeb5bd24417,BEARISH,BITFINEX_ZERO,,,v10.6-melbourne-unified-2026-06-24,,,1.1,
AI_EVALUATED,,False,AI_COOLDOWN_126s,v10.6-melbourne-unified-2026-06-24,RANGING,AI_COOLDOWN_126s,BULLISH,bitfinex,WAIT,62854.0,0.56,BEARISH_STRUCTURE,,BEAR,True,tBTCF0:USTF0,2026-06-24T12:31:07.587643+00:00,3.0,EDGE,20.67,3.0,3.0,,BEARISH,BITFINEX_ZERO,,,v10.6-melbourne-unified-2026-06-24,,,1.5,
AI_EVALUATED,,False,AI_COOLDOWN_94s,v10.6-melbourne-unified-2026-06-24,RANGING,AI_COOLDOWN_94s,BULLISH,bitfinex,WAIT,62797.0,1.0,BEARISH_STRUCTURE,,BEAR,True,tBTCF0:USTF0,2026-06-24T12:31:40.540646+00:00,3.0,EDGE,20.67,3.0,3.0,,BEARISH,BITFINEX_ZERO,,,v10.6-melbourne-unified-2026-06-24,,,2.0,
AI_EVALUATED,,False,AI_COOLDOWN_56s,v10.6-melbourne-unified-2026-06-24,RANGING,AI_COOLDOWN_56s,BULLISH,bitfinex,WAIT,62811.0,1.0,BEARISH_STRUCTURE,,BEAR,True,tBTCF0:USTF0,2026-06-24T12:32:17.964948+00:00,3.0,EDGE,20.67,3.0,3.0,,BEARISH,BITFINEX_ZERO,,,v10.6-melbourne-unified-2026-06-24,,,2.0,
AI_EVALUATED,,False,AI_COOLDOWN_23s,v10.6-melbourne-unified-2026-06-24,RANGING,AI_COOLDOWN_23s,BULLISH,bitfinex,WAIT,62842.0,0.03,BEARISH_STRUCTURE,,BEAR,True,tBTCF0:USTF0,2026-06-24T12:32:51.088036+00:00,3.0,EDGE,20.67,3.0,3.0,,BEARISH,BITFINEX_ZERO,,,v10.6-melbourne-unified-2026-06-24,,,2.0,
AI_EVALUATED,,True,PERIODIC_RESEARCH_AI,v10.6-melbourne-unified-2026-06-24,RANGING,PERIODIC_RESEARCH_AI,BULLISH,bitfinex,TRIGGER,62861.0,0.0,BEARISH_STRUCTURE,,BEAR,True,tBTCF0:USTF0,2026-06-24T12:33:22.778476+00:00,3.0,EDGE,20.67,3.0,3.0,,BEARISH,BITFINEX_ZERO,,,v10.6-melbourne-unified-2026-06-24,,,1.0,
