ts,trade_id,decision,reason,skip_stage,ai_win_prob,ai_threshold,ai_decision_text,edge_score,edge_threshold,effective_threshold,invert_signal,early_fail_enabled,experiment_tag,features_price,features_ema9,features_delta,controls_edge,final_direction,ai_error,ai_source,edge_trigger_reason,exchange,data_symbol,bot_version,fee_profile,analyzer_sync_id,research_lane,research_model
2026-06-23T09:25:03.011227+00:00,cont-42456592e7de,AI,APPROVE,AI,68,44.0,APPROVE,4.3,3.0,3.0,False,True,INV_False_EF_True,62513.0,62610.140113,-14.858177,3.0,,False,,PERIODIC_RESEARCH_AI,bitfinex,tBTCF0:USTF0,v10.3-dashboard-ultimate-gate-2026-06-23,BITFINEX_ZERO,v10.3-dashboard-ultimate-gate-2026-06-23,CONTINUOUS,Continuous AI Research
2026-06-23T09:25:03.770474+00:00,cont-42456592e7de,COMPLETE,COMPLETE,COMPLETE,68,44.0,APPROVE,4.3,3.0,3.0,False,True,INV_False_EF_True,62513.0,62610.140113,-14.858177,3.0,SHORT,False,SPAWN,PERIODIC_RESEARCH_AI,bitfinex,tBTCF0:USTF0,v10.3-dashboard-ultimate-gate-2026-06-23,BITFINEX_ZERO,v10.3-dashboard-ultimate-gate-2026-06-23,CONTINUOUS,Continuous AI Research
2026-06-23T09:25:03.809850+00:00,cont-42456592e7de,PIPELINE_WARNING,PIPELINE_WARNING,PIPELINE_WARNING,68,44.0,APPROVE,4.3,3.0,3.0,False,True,INV_False_EF_True,62513.0,62610.140113,-14.858177,3.0,SHORT,False,SPAWN,PERIODIC_RESEARCH_AI,bitfinex,tBTCF0:USTF0,v10.3-dashboard-ultimate-gate-2026-06-23,BITFINEX_ZERO,v10.3-dashboard-ultimate-gate-2026-06-23,CONTINUOUS,Continuous AI Research
2026-06-23T09:25:03.846821+00:00,3f932139-4bfc-4326-863e-d8c4f5b119ad,AI,APPROVE,AI,68,44.0,APPROVE,4.3,3.0,3.0,False,True,INV_False_EF_True,62513.0,62610.140113,-14.858177,3.0,,False,,PERIODIC_RESEARCH_AI,bitfinex,tBTCF0:USTF0,v10.3-dashboard-ultimate-gate-2026-06-23,BITFINEX_ZERO,v10.3-dashboard-ultimate-gate-2026-06-23,AI_SCAN,AI Scan (no orders)
2026-06-23T09:25:04.273875+00:00,c65c-723c3f3a4cc5,AI,APPROVE,AI,68,44.0,APPROVE,4.3,3.0,3.0,False,True,INV_False_EF_True,62513.0,62610.140113,-14.858177,3.0,,False,,PERIODIC_RESEARCH_AI,bitfinex,tBTCF0:USTF0,v10.3-dashboard-ultimate-gate-2026-06-23,BITFINEX_ZERO,v10.3-dashboard-ultimate-gate-2026-06-23,COMBO_65_SP5_CHASE_3PLUS,AI65+ · Spread5+ · Chase 3+
2026-06-23T09:25:05.347409+00:00,c65c-723c3f3a4cc5,COMPLETE,COMPLETE,COMPLETE,68,44.0,APPROVE,4.3,3.0,3.0,False,True,INV_False_EF_True,62513.0,62610.140113,-14.858177,3.0,SHORT,False,SPAWN,PERIODIC_RESEARCH_AI,bitfinex,tBTCF0:USTF0,v10.3-dashboard-ultimate-gate-2026-06-23,BITFINEX_ZERO,v10.3-dashboard-ultimate-gate-2026-06-23,COMBO_65_SP5_CHASE_3PLUS,AI65+ · Spread5+ · Chase 3+
2026-06-23T09:25:05.383145+00:00,c65c-723c3f3a4cc5,PIPELINE_WARNING,PIPELINE_WARNING,PIPELINE_WARNING,68,44.0,APPROVE,4.3,3.0,3.0,False,True,INV_False_EF_True,62513.0,62610.140113,-14.858177,3.0,SHORT,False,SPAWN,PERIODIC_RESEARCH_AI,bitfinex,tBTCF0:USTF0,v10.3-dashboard-ultimate-gate-2026-06-23,BITFINEX_ZERO,v10.3-dashboard-ultimate-gate-2026-06-23,COMBO_65_SP5_CHASE_3PLUS,AI65+ · Spread5+ · Chase 3+
2026-06-23T09:25:05.457865+00:00,3015df7b-2ca8-430a-881a-eab42adea56f,NO_SIGNAL,AI_COOLDOWN_169s,PRE_PIPELINE,,44.0,,4.3,3.0,3.0,False,True,INV_False_EF_True,,,,,,False,,PERIODIC_RESEARCH_AI,bitfinex,tBTCF0:USTF0,v10.3-dashboard-ultimate-gate-2026-06-23,BITFINEX_ZERO,v10.3-dashboard-ultimate-gate-2026-06-23,,Unknown
2026-06-23T09:28:57.738928+00:00,cont-5787f770e211,AI,APPROVE,AI,62,44.0,APPROVE,3.5,3.0,3.0,False,True,INV_False_EF_True,62523.0,62606.340113,-14.878667,3.0,,False,,PERIODIC_RESEARCH_AI,bitfinex,tBTCF0:USTF0,v10.3-dashboard-ultimate-gate-2026-06-23,BITFINEX_ZERO,v10.3-dashboard-ultimate-gate-2026-06-23,CONTINUOUS,Continuous AI Research
2026-06-23T09:28:58.720648+00:00,cont-5787f770e211,COMPLETE,COMPLETE,COMPLETE,62,44.0,APPROVE,3.5,3.0,3.0,False,True,INV_False_EF_True,62523.0,62606.340113,-14.878667,3.0,SHORT,False,SPAWN,PERIODIC_RESEARCH_AI,bitfinex,tBTCF0:USTF0,v10.3-dashboard-ultimate-gate-2026-06-23,BITFINEX_ZERO,v10.3-dashboard-ultimate-gate-2026-06-23,CONTINUOUS,Continuous AI Research
