time,trade_id,dir,limit_price,signal_price,created_ts,expired_ts,age_min,conf,mode,reason,research_lane,research_model,closest_price,missed_by_usd,min_price_since_order,max_price_since_order,touched_limit
2026-06-22T11:25:33.030305+00:00,cont-f72ac4f948a8,LONG,,64382.0,1782127533.030282,1782127533.030272,0,62,RESEARCH,DUPLICATE_LIMIT_PRICE,CONTINUOUS,Continuous AI Research,,,,,False
2026-06-22T11:32:03.892958+00:00,cont-989acd2d7c20,LONG,,64516.0,1782127923.892936,1782127923.892927,0,62,RESEARCH,DUPLICATE_LIMIT_PRICE,CONTINUOUS,Continuous AI Research,,,,,False
2026-06-22T11:35:23.049049+00:00,cont-a77e52915914,LONG,,64682.0,1782128123.049035,1782128123.049029,0,62,RESEARCH,DUPLICATE_LIMIT_PRICE,CONTINUOUS,Continuous AI Research,,,,,False
2026-06-22T11:44:58.453864+00:00,cont-e0337f4d7e10,LONG,,64669.0,1782128698.453852,1782128698.453846,0,62,RESEARCH,DUPLICATE_LIMIT_PRICE,CONTINUOUS,Continuous AI Research,,,,,False
2026-06-22T11:48:10.730688+00:00,cont-ad19ad61f642,LONG,,64654.0,1782128890.730664,1782128890.730656,0,62,RESEARCH,DUPLICATE_LIMIT_PRICE,CONTINUOUS,Continuous AI Research,,,,,False
2026-06-22T12:01:04.947059+00:00,cont-4630a410c435,LONG,,64684.0,1782129664.947035,1782129664.947025,0,62,RESEARCH,DUPLICATE_LIMIT_PRICE,CONTINUOUS,Continuous AI Research,,,,,False
2026-06-22T12:10:50.309490+00:00,cont-3151743b2a1e,LONG,,64748.0,1782130250.309464,1782130250.309452,0,62,RESEARCH,DUPLICATE_LIMIT_PRICE,CONTINUOUS,Continuous AI Research,,,,,False
2026-06-22T12:17:24.941017+00:00,cont-c42a70d7a115,LONG,,64762.0,1782130644.940993,1782130644.940983,0,62,RESEARCH,DUPLICATE_LIMIT_PRICE,CONTINUOUS,Continuous AI Research,,,,,False
2026-06-22T12:20:40.773667+00:00,cont-7a7c88d270ce,LONG,,64768.0,1782130840.773639,1782130840.77363,0,62,RESEARCH,DUPLICATE_LIMIT_PRICE,CONTINUOUS,Continuous AI Research,,,,,False
2026-06-22T12:43:18.285474+00:00,cont-57649fade4d8,LONG,,65136.0,1782132198.285455,1782132198.285446,0,62,RESEARCH,DUPLICATE_LIMIT_PRICE,CONTINUOUS,Continuous AI Research,,,,,False
2026-06-22T12:56:03.565171+00:00,cont-25354e875fec,LONG,65137.0,65163.0,1782132963.565126,1782132963.565112,0,62,RESEARCH,STALE_NO_EXPOSURE,CONTINUOUS,Continuous AI Research,,,,,False
2026-06-22T12:57:14.549973+00:00,486ade08-66c7-48d3-8a06-cb56ee108029,LONG,,64930.0,1782133034.549956,1782133034.549944,0,62,RESEARCH,SIGNAL_TTL_EXPIRED,AI_SCAN,AI Scan (no orders),,,,,False
2026-06-22T12:57:35.187991+00:00,cont-fadaaa0fad12,LONG,,65173.0,1782133055.187957,1782133055.187945,0,62,RESEARCH,DUPLICATE_LIMIT_PRICE,CONTINUOUS,Continuous AI Research,,,,,False
2026-06-22T13:04:04.424954+00:00,cont-63fce65bf913,LONG,,65201.0,1782133444.424928,1782133444.424918,0,62,RESEARCH,DUPLICATE_LIMIT_PRICE,CONTINUOUS,Continuous AI Research,,,,,False
2026-06-22T13:10:06.005428+00:00,3921410d-d948-4cbb-b1fa-fe71b0f6d7ff,LONG,,65166.0,1782133806.005415,1782133806.005408,0,62,RESEARCH,SIGNAL_TTL_EXPIRED,AI_SCAN,AI Scan (no orders),,,,,False
2026-06-22T13:10:34.303053+00:00,cont-89c9a1af53b7,LONG,,65133.0,1782133834.303025,1782133834.303016,0,62,RESEARCH,DUPLICATE_LIMIT_PRICE,CONTINUOUS,Continuous AI Research,,,,,False
2026-06-22T13:13:18.523618+00:00,bda46002-f1e5-4e37-9b22-c3ed2b7b6cfc,LONG,,65136.0,1782133998.523606,1782133998.523599,0,62,RESEARCH,SIGNAL_TTL_EXPIRED,AI_SCAN,AI Scan (no orders),,,,,False
2026-06-22T13:13:47.318661+00:00,cont-4b21e22dc1b7,LONG,,65200.0,1782134027.318631,1782134027.318618,0,62,RESEARCH,DUPLICATE_LIMIT_PRICE,CONTINUOUS,Continuous AI Research,,,,,False
2026-06-22T13:24:22.625602+00:00,812bf965-14d7-4900-a9b7-1495e1457bd6,LONG,,65163.0,1782134662.625571,1782134662.625554,0,62,RESEARCH,SIGNAL_TTL_EXPIRED,AI_SCAN,AI Scan (no orders),,,,,False
2026-06-22T13:25:35.881635+00:00,cont-57c15953c212,LONG,,65085.0,1782134735.881606,1782134735.881594,0,62,RESEARCH,DUPLICATE_LIMIT_PRICE,CONTINUOUS,Continuous AI Research,,,,,False
2026-06-22T13:27:36.534914+00:00,7a2470c7-c891-4fef-b63a-def1e689717f,LONG,,65173.0,1782134856.534904,1782134856.534899,0,62,RESEARCH,SIGNAL_TTL_EXPIRED,AI_SCAN,AI Scan (no orders),,,,,False
2026-06-22T13:30:51.400913+00:00,1b75d957-70a5-41ea-acb9-5ea3e629ce78,LONG,,65141.0,1782135051.400886,1782135051.40088,0,62,RESEARCH,SIGNAL_TTL_EXPIRED,AI_SCAN,AI Scan (no orders),,,,,False
2026-06-22T13:37:22.996778+00:00,bf5e2213-dfbf-46ba-9cf5-8c06f1cb8e00,LONG,,65106.0,1782135442.996759,1782135442.996748,0,62,RESEARCH,SIGNAL_TTL_EXPIRED,AI_SCAN,AI Scan (no orders),,,,,False
2026-06-22T13:37:57.385993+00:00,cont-78165f11be80,LONG,65205.95,65147.0,1782135477.385975,1782135477.385969,0,62,RESEARCH,STALE_NO_EXPOSURE,CONTINUOUS,Continuous AI Research,,,,,False
2026-06-22T13:40:34.962236+00:00,fd61f0f8-8d2b-4833-9b85-bac1ef7b78c5,LONG,,65133.0,1782135634.962222,1782135634.962215,0,62,RESEARCH,SIGNAL_TTL_EXPIRED,AI_SCAN,AI Scan (no orders),,,,,False
2026-06-22T13:41:21.520303+00:00,cont-79fb27babe46,LONG,,65349.0,1782135681.520282,1782135681.520274,0,62,RESEARCH,DUPLICATE_LIMIT_PRICE,CONTINUOUS,Continuous AI Research,,,,,False
2026-06-22T14:02:01.452542+00:00,d74b46bb-2a69-4377-905a-7e36acc3d5d9,LONG,,65153.0,1782136921.452523,1782136921.452507,0,62,RESEARCH,SIGNAL_TTL_EXPIRED,AI_SCAN,AI Scan (no orders),,,,,False
2026-06-22T14:04:54.213548+00:00,90fd82e8-a9f7-49ac-b03a-3bd5d87e21f5,LONG,,65147.0,1782137094.213526,1782137094.213514,0,62,RESEARCH,SIGNAL_TTL_EXPIRED,AI_SCAN,AI Scan (no orders),,,,,False
2026-06-22T14:06:25.912785+00:00,cont-d482f11989db,LONG,,65468.0,1782137185.912748,1782137185.912732,0,62,RESEARCH,DUPLICATE_LIMIT_PRICE,CONTINUOUS,Continuous AI Research,,,,,False
2026-06-22T14:07:30.300690+00:00,cont-6247472f84eb,LONG,65384.08,65461.0,1782137250.300667,1782137250.300659,0,62,RESEARCH,STALE_NO_EXPOSURE,CONTINUOUS,Continuous AI Research,,,,,False
2026-06-22T14:08:30.141531+00:00,4ab64f7f-78e7-4a89-bf9c-0e0708df5142,LONG,,65313.0,1782137310.141515,1782137310.141507,0,62,RESEARCH,SIGNAL_TTL_EXPIRED,AI_SCAN,AI Scan (no orders),,,,,False
2026-06-22T14:09:36.394455+00:00,cont-4b5b95798860,LONG,,65369.0,1782137376.394433,1782137376.394425,0,62,RESEARCH,DUPLICATE_LIMIT_PRICE,CONTINUOUS,Continuous AI Research,,,,,False
2026-06-22T14:11:23.592807+00:00,87242748-b969-44d1-b1bb-36419ee1ac8c,LONG,,65349.0,1782137483.59279,1782137483.592777,0,62,RESEARCH,SIGNAL_TTL_EXPIRED,AI_SCAN,AI Scan (no orders),,,,,False
2026-06-22T14:17:37.574159+00:00,cont-50587f5695cb,LONG,,65229.0,1782137857.574135,1782137857.574125,0,62,RESEARCH,DUPLICATE_LIMIT_PRICE,CONTINUOUS,Continuous AI Research,,,,,False
2026-06-22T14:20:18.305143+00:00,cont-597940520426,LONG,,65173.0,1782138018.305114,1782138018.305105,0,62,RESEARCH,DUPLICATE_LIMIT_PRICE,CONTINUOUS,Continuous AI Research,,,,,False
